 دل نے کمزوری دکھا دی۔
 کوئی مذہبی فریضہ نہیں چھوڑتے۔
 مصر کا ڈراؤنا خواب آتاہے۔
 یہ کب تک چلے گا؟
وہ ویسے ہی رہیں گے۔
اُس کا خمیر، مزاج اور سوچ مختلف ہے۔
اِسے عجوبہ نہیں سمجھا جاتا۔
اب اگر ایسا ہوتا ہے۔
اب انقلابی تو یہ ہیں۔
اب انہیں اعتراض کیوں ہے؟
اب انہیں خوش ہونا چاہیے۔
اب انہیں لیڈر بننا ہے۔
اب ایک بات لازم ہے۔
اب آ سمان بدلتا ہے۔
اب بہتری کی امید ہے۔
اب بھی پڑی ہوئی ہے۔
اب بھی وہی قائم ہیں۔
اب پتہ نہیں کہاں ہیں۔
اب ترتیب الٹ گئی ہے۔
اب تیونیسیا میں جمہوریت ہے۔
اب حالات یکسر مختلف ہیں۔
اب حقیقت کچھ اور ہے۔
اب دوسرے کیا کریں گے؟
اب رہ کیا گیا ہے؟
اب صورتحال تبدیل ہوچکی ہے۔
اب کالم بھی لکھتے ہیں۔
اب کے حالات مختلف ہیں۔
اب معاملہ کھل رہا ہے۔
اب منہ چھپائے پھرتے ہیں۔
اب نون لیگ کیا کرے؟
اب ہو نا یہ چاہیے۔
اب وقت گزر چکا ہے۔
اب وہ پھر نظر آئیں گے۔
اب وہ قدغنیں نہیں ہیں۔
اب یہ سیاسی بحث ہے۔
اب یہ فیصلہ مشکل ہے۔
ابتدا حکومت سے کرتے ہیں۔
ابتدا میں غزل کہتے تھے۔
ابھی تو محض شروعات ہیں۔
اپنوں کا انداز ناصحانہ ہے۔
اپنے پیروں پہ کھڑے ہوں۔
اپنے لیڈروں کو بھی دیکھیں۔
اپنے لیے شرمندہ کیا ہوں۔
اپنے نام کا مصداق ہے۔
اپنی جان کی فکر ہے۔
اپنی قسمت خوب سنوار گئے۔
اتنا بڑا جھوٹ بولتا ہے۔
اتنا بڑا مسئلہ بن جائے؟
اتنی صلاحیت ہی نہ تھی۔
اتنی ہی عجیب لگے گی۔
اثر چھوڑ جاتے ہیں۔
اجتماعی ذوق کی کمی ہے۔
اجتماعی رویے درست نہ ہوں۔
احتجاج دراصل وہاں ہوتا ہے۔
احتجاج کوئی متبادل نہیں ہے۔
احتساب حکومت کی روح ہے۔
احتساب کے جج بھی تھے۔
احتساب مخالفین کا ہو گا۔
احتساب نے کیا ہونا تھا۔
احد چیمہ کو ہی لیجئیے۔
احسن اقبال نے کیا کہا؟
اختلاف ایک مثبت قدر ہے۔
اختلاف کا محل دوسرا ہے۔
ادیب کا بیانیہ کیا ہے؟
ارجنٹینا نے قرض لیا تھا۔
ازل سے ایسا ہی ہے۔
اس استدعا کو کیسے جھٹلایا جا سکتا ہے؟
اس بار ایسا نہیں ہے۔
اس بندوبست نے رہنا ہے۔
اس پر احتجاج آخر کیوں؟
اس پہ غور ہونا چاہیے۔
اس پہ کیا کہا جائے؟
اس پہ نظر ہونی چاہیے۔
اس جملے کی شرح کیجیے۔
اس جملے میں کیا تھا؟
اس جمود کو توڑا ہے۔
اس جنگ میں جھونک دیا۔
اس جیسا ادارہ تو غنیمت ہے۔
اس خطے کو بدلنا ہے۔
اس رجحان کو روکنا چاہیے۔
اس سے چمٹے رہتا ہے۔
اس سے دل اٹھ گیا۔
اس سے زیادہ کچھ نہیں۔
اس سے زیادہ کی نہیں۔
اس سے زیادہ کیا ہوتے؟
اس سے فاصلے کم ہوں گے۔
اس سے کیا ہو گا؟
اس سے گریز لازم ہے۔
اس سے نجات لازم ہے۔
اس صورتحال کا کوئی حل نہیں۔
اس فکر میں رہنے کیلئے۔
اس کا اندازہ نہ تھا۔
اس کا ایک جواب ہے۔
اس کا ایک خالق ہے۔
اس کا پائلٹ پکڑا گیا۔
اس کا جواب آسان ہے۔
اس کا جواب واضح ہے۔
اس کا حاصل یہ ہے۔
اس کا حل کیا ہے؟
اس کا حل کیا ہے۔
اس کا دوسرا پہلوبھی ہے۔
اس کا راز کیا ہے؟
اس کا سبب کیا ہے؟
اس کا سفارشی کون ہے۔
اس کا قتل کیوں ہوا؟
اس کا کوئی جواز ہے؟
اس کا کیا کیا جائے؟
اس کا مزاج دعوتی ہے۔
اس کا مطلب یہی ہے۔
اس کا مفہوم کیا ہے؟
اس کا نام "ریٹنگ" ہے۔
اس کا نام جمہوریت ہے۔
اس کا ہمیں نہیں پتہ۔
اس کو دہرانا تحصیل حاصل ہے۔
اس کے احکام کیا ہیں۔
اس کے بعد کیا کریں؟
اس کے بعد کیا ہوا؟
اس کے تین دھڑے ہیں۔
اس کے تیور اور ہیں۔
اس کے چند اسباب ہیں۔
اس کے حق میں ہے۔
اس کے دو اسباب ہیں۔
اس کے دو جواب ہیں۔
اس کے دو مظاہر ہیں۔
اس کے علاوہ کچھ نہیں۔
اس کے فوری امکانات نہیں۔
اس کے کئی ابواب ہیں۔
اس کے متنوع اسباب ہیں۔
اس کے معانی کیا ہیں؟
اس کی ایک وجہ ہے۔
اس کی تین وجوہات تھیں۔
اس کی حدود ہوتی ہیں۔
اس کی حیثیت اساسی ہے۔
اس کی دو سطحیں ہیں۔
اس کی دو صورتیں ہیں۔
اس کی کیا ضرورت تھی؟
اس کی کیا وجہ ہے؟
اس کی کئی جہتیں ہیں۔
اس کی مختلف سطحیں ہیں۔
اس کی معراج یہ ہے۔
اس کی وجہ سیاسی ہے۔
اس کی وجہ واضح ہے۔
اس لئے ناکام ہی گزری۔
اس ملک کے نارمل حالات۔
اس ملک میں اور تو کچھ ہے۔
اس میں اپنا حصہ ڈالیں۔
اس میں ایک مسئلہ ہے۔
اس میں برائی کیا ہے؟
اس میں پاکستان کیا کرے؟
اس میں تصادم کہاں ہے؟
اس میں حکمت ہے۔
اس میں سب شامل ہیں۔
اس میں کچھ دقت ہے۔
اس میں کوئی دورائے نہیں۔
اس میں کوئی شک نہیں۔
اس میں کوئی ندرت ہے؟۔
اس میں کیا برائی ہے؟
اس میں کیا حرج ہے؟
اس میں کیا خرابی ہے؟
اس نظام میں رہتے ہیں۔
اس نظام میں کمزوریاں ہیں۔
اس نے بات کرنی ہے۔
اس نے سردی اور حالات کا مقابلہ کیا۔
اس ہنگامے سے کیا امید؟
اس وقت تحصیلدار بڑا عہدہ سمجھا جاتا تھا۔
اس وقت کے سینئر جرنیل۔
اس وقت وہاں سڑک تھی۔
اس وقت یہی مناسب تھا۔
اسحاق ڈار بھی غائب ہیں۔
اسد عمر تو کارندہ ہے۔
اسلام دل کی بات ہے۔
اسلامائزیشن کا ذکر ہوگا۔
اسلامی جمعیت طلبہ میں تھا۔
اسلامی مملکت میں سوشلزم کیوں؟
اسے اپنانے کا کبھی سوچا؟
اسے برداشت کرنا پڑتا ہے۔
اسے برداشت کرنا پڑے گا۔
اسے پر کون کرے گا۔
اسے تبدیل کرنا لازم ہے۔
اسے حکومتی موقف سمجھنا چاہیے۔
اسے حل کون کرے گا؟
اسے دھاندلی کہا جائے گا۔
اسے دوبارہ دیکھا جائے گا۔
اسے سیاست کہنا مشکل ہے۔
اسے غنیمت سمجھا جاتا ہے۔
اسے کس نے کھلوایا؟
اسے کہیں اور پہنچنا تھا۔
اسے مزید کنفیوز نہ کریں۔
اسے ہماری خوش قسمتی سمجھیے۔
اسی پر چل پڑیں گے۔
اسی پہ اکتفا کرنا چاہیے۔
اسی پہ اکتفا نہ کیا۔
اسی سے کچھ سیکھ لیں۔
اسی طرح اکثر دیکھتے ہوں۔
اسی طرح انتہا پسندی ہے۔
اسی کا فہم ضروری ہے۔
اسی کو بہت سمجھنا چاہیے۔
اسی کو جمہوریت کہتے ہیں۔
اسی کو فاشزم کہتے ہیں۔
اصل بات اوپر کی ہے۔
اصل مسئلہ اوپر کا ہے۔
اصل میں حکومت کھوکھلی ہے۔
اصولی بات کہہ رہے ہیں۔
افسرشاہی اور پولیس، دونوں آزاد ہیں۔
افغانستان کا معاملہ عجیب ہے۔
اقتدار بھی کیا چیز ہے۔
اقتدار کی سیاست میں اصول کہاں؟
اقتدار میں کیسے اتراتے تھے۔
اقتدار ہمہ وقت عمل ہے۔
اقتصادی راہداری: رحمت یا زحمت؟
اقربا پروری پھیلی ہوئی ہے۔
اکثر کو اقتدار سے دلچسپی تھی۔
اکثریت دوسری صف میں ہے۔
اکڑ کے تو رہتے ہیں۔
اگر ان پر پابندی ہے۔
اگر ثبوت اتنے واضح ہیں۔
اگر جواب اثبات میں ہے۔
اگر حالات خراب بھی ہیں۔
اگر ساون آن پہنچا ہے۔
اگر کوئی نہیں جانتا ہے۔
اگر یہ بات طے ہے۔
اگر یہ پاکستانی فوج ہے۔
اگر یہ درخت رہے گا۔
اگر یہ کھاتہ کھلتا ہے۔
اگر یہ محض استنباط ہے۔
اگر یہ ہندوستانی سوچ ہے۔
اگلا مرحلہ وکالت کا ہے۔
البتہ سیاست کا شوق تھا۔
البتہ قدم مضبوط رہنے چاہئیں۔
اللہ کا دین آفاقی ہے۔
الہامی تہذیب کا جوہر کیا ہے؟
الیکشن کا متبادل کچھ نہیں۔
الیکشن کا میدان سجے گا۔
الیکشن کی آمد آمد ہے۔
الیکشنوں میں تاخیر ہوتی ہے۔
امریکہ کو کہا جاتا ہے۔
امریکہ کی امداد تو تھی۔
امریکہ میں ایسا نہیں ہے۔
ان اندھیروں سے نکلیں گے۔
ان دنوں یہی ہو رہا ہے۔
ان راہوں پہ چل نکلے۔
ان رستوں کو ڈھونڈے گا۔
ان سے تجاوز کیا گیا۔
ان سے جہاد کرنا ہے۔
ان کا بھی کیا کہنا۔
ان کا خیال آتا ہے۔
ان کا دوسرا مطالبہ تھا۔
ان کا رویہ منطقی ہے۔
ان کا شعبہ قانون تھا۔
ان کا عزم بجا ہے۔
ان کا علاج ہونا چاہیے۔
ان کا قاتل کون ہے؟
ان کا کہنا یہ ہے۔
ان کا کورٹ مارشل ہوتا۔
ان کا کوئی لیول نہیں۔
ان کا مزاج خراب ہو رہا ہے۔
ان کا مقدر جیل ہے۔
ان کا مقدمہ اخلاقی ہے۔
ان کا ہرگز نہ تھا۔
ان کے حال آسودہ ہیں۔
ان کے خیالات فرسودہ ہیں۔
ان کے سیاسی افکار سیکولر تھے۔
ان کے کارنامے دیکھ کر۔
ان کے کردار اچھے ہوں۔
ان کے معاشرے جدید ہیں۔
ان کے والد امام تھے۔
ان کی اصلاح ہو گی۔
ان کی بات سچ نکلی۔
ان کی بڑی عزت بنی۔
ان کی ترجیحات اور ہیں۔
ان کی توقعات جلیل ہیں۔
ان کی ججی برقرار ہے۔
ان کی چاندی ہو گئی۔
ان کی زبان مقامی ہے۔
ان کی سوچ محدود ہے۔
ان کی قدر کرنی چاہیے۔
ان کی منزل کیا ہے؟
ان کی نظر کمال تھی۔
ان کی نہ سنی گئی۔
ان میں ایسے نام تھے۔
ان میں کشش بھی ہے۔
ان میں وہ نہ تھی۔
ان نوجوانوں کو راہنمائی چاہیے۔
انبیاء کا معاملہ مختلف ہے۔
انتخاب البتہ حکمران کرتے ہیں۔
انتخابات جیتنا ایک آرٹ ہے۔
انتقام کے سوا کیا ہے۔
انڈونیشیا ایک کثیرالمذاہب معاشرہ ہے۔
انسان جائے تو جائے کہاں۔
انسان جو چاہے لباس پہنے۔
انسان کو کتنی دولت چاہیے؟
انسان میں کمزوریاں ہوتی ہیں۔
انصاف کے تقاضے پورے ہوں۔
انقلاب کی سرزمین روس تھی۔
انقلاب نے کیا آنا تھا۔
انگریز البتہ دانا حکمران تھے۔
انگریز راج ، سیکولر راج تھا۔
انگریزی پڑھنے والے تھوڑے ہیں۔
انگریزی لکھنا آسان کام ہے۔
انگریزی میں کیا کہتے ہیں
انہوں نے ایسا کیوں کیا؟
انہوں نے پوچھا کہ معاملات کیسے ہیں؟۔
انہوں نے تبدیل نہیں ہونا۔
انہوں نے جو کرنا تھا۔
انہوں نے کاروبار کرنا ہے۔
انہوں نے کیا کہا تھا؟
انہی دنوں میں ہوجائے گا۔
انہی کو بروئے کار لائے۔
انہی کو سامنے رکھنا چاہیے۔
انہیں اس سے روکنا چاہیے۔
انہیں بات اچھی نہ لگی۔
انہیں باہر نکال دیاجائے۔
انہیں بھی نوٹس آئے ہیں۔
انہیں راہنما مانا جاتا ہے۔
انہیں سمجھا جا سکتا ہے۔
انہیں کتاب سے محبت تھی۔
انہیں مدرسوں کی فکر ہے۔
انہیں ہم اقدار کہتے ہیں۔
انہیں یہ ثابت نہیں کرنا۔
انہیں یہ کام کرنے دیں۔
اہل اسلام کا کوئی گروہ؟
اہل دانش کا کام ہے۔
اہل دانش کا کوئی فورم؟
اہل کشمیرکا وکیل کون ہے؟
اہل نظر خواب دیکھتے ہیں۔
اور اس کی بڑی طلب ہے۔
اور اگر ایسا ہوتا ہے۔
اور ان کی بے پناہ دولت۔
اور انہیں بھلا دینا ہی اچھا ہے۔
اور آسمان نے آنکھیں پھیرلی ہیں۔
اور پھر وہی ہو تا ہے۔
اور جب ہلاکتیں ہوتی ہیں۔
اور جو سیاسی قیمت چکانی تھی۔
اور ذہنی اذیت سے دوچار ہیں۔
اور کیا ثبوت درکار ہے۔
اور کیا ہو سکتا ہے؟
اور نام نہیں لو گے۔
اور ورد کر رہے ہیں۔
اوراس کا حشر کیا کیاگیا۔
اورآپ اتنے آرام طلب ہیں۔
اورتصویرناطق ہو جا تی ہے۔
اورشاعری بھی عروج پہ تھی۔
اورمیاں نوازشریف سے ہی لڑ بیٹھے۔
اوروں کے مسائل کیا ہوں۔
اوروہ بھی مانگے تانگے کے۔
ایران سے تو دشمنی ہے۔
ایران کو اور کیا چاہیے۔
ایسا اسی وقت ہوتا ہے۔
ایسا تو ہوتا رہے گا۔
ایسا کبھی نہیں ہو گا۔
ایسا کچھ نہیں ہونا تھا۔
ایسا کرنا علمی بددیانتی ہے۔
ایسا ممکن نہیں ہو گا۔
ایسا ہونا لازم نہ تھا۔
ایسا ہونا مایوس کن ہے۔
ایسے ردعمل کا کیا کیاجائے؟
ایسے معاملات چل نہیں سکتے۔
ایسے میں پاکستان کیا کرے؟
ایسے واقعات کی روک تھا۔
ایسی بھی کوئی بات نہیں۔
ایسی سوچ مضحکہ خیز ہے۔
