 دل نے کمزوری دکھا دی۔
 مصر کا ڈراؤنا خواب آتاہے۔
 کوئی مذہبی فریضہ نہیں چھوڑتے۔
 یہ کب تک چلے گا؟
"کیسا زندگی سے بھرپور ہے۔
آ دمی ہنسے کہ روئے؟
آئین سے یا ماورائے آئین؟
آئین موجودہے اور جمہوریت قائم ہے۔
آج بھی ایسا ہی ہے۔
آج بھی رات ڈھلتی ہے۔
آج صورتحال یکسر مختلف ہے۔
آج فیصلہ ہو جائے گا۔
آج مسائل کا انبار ہے۔
آج مسلمان ممالک میں بادشاہت ہے۔
آج کل بھی دستیاب ہے۔
آج کل کے تماشے دیکھیے۔
آج کیمسٹ ہڑتال پر ہیں۔
آج ہر طرف اضطراب ہے۔
آج ہفتے کا دن ہے۔
آج ہم وہیں کھڑے ہیں۔
آج ہمارے موضوعات دوسرے ہیں۔
آخر ایسا کیوں ہو تا ہے؟
آخر صحافت کے استاد ہیں۔
آخر یہ ماجرا کیا ہے؟
آخری ایکٹ چل رہا ہے۔
آداب کا تقاضا کیا ہے؟
آدمی کے پاس پیسے ہوں۔
آزادی رائے پر پابندی تھی۔
آسانیاں بھی اور آسودگی بھی۔
آشیانے کی بات کرتے ہو؟
آغاز کہاں سے ہو گا؟
آفاقیت شریعت کا وصف ہے۔
آمد و رفت میں اضافہ ہونا چاہیے۔
آنکھوں سے آنسو رواں ہیں۔
آنکھیں چندھیا جا تی ہیں۔
آپ پہ کوئی پابندی نہیں۔
آپ کچھ اور بات کر رہے ہیں۔
آپ کی باتیں سنی ہیں۔
آپ کی حرکات مشکوک ہوں۔
آپ یہ خواہش رکھتے ہیں۔
آپس ہی میں مقابلہ ہے۔
آگے آگے دیکھیے ہوتا ہے کیا۔
آگے سوچنے کی صلاحیت نہیں۔
آگے فیصلے کیا ہونے ہیں۔
آگے کہیں جا نہیں سکتے۔
آگے کی طرف دیکھنا چاہیے۔
اب آ سمان بدلتا ہے۔
اب انقلابی تو یہ ہیں۔
اب انہیں اعتراض کیوں ہے؟
اب انہیں خوش ہونا چاہیے۔
اب انہیں لیڈر بننا ہے۔
اب اگر ایسا ہوتا ہے۔
اب ایک بات لازم ہے۔
اب بھی وہی قائم ہیں۔
