 جب سماج اسلامی اخلاقیات کا نمونہ بنے گا۔"
"تو شہادت کی آرزو میں افغانستان جا پہنچا تھا۔
"جن کے بغیر جمہوریت نتیجہ خیز نہیں ہو سکتی؟
"جن کے تحت سیاسی عمل آگے بڑھ رہا تھا۔
"جو ریاست اور معاشرے کی بقا سے متعلق ہیں۔
"جو ملکی اور عالمی سطح پر آ رہی ہیں۔
"دیا اسے دل و دیں اب یہ جان ہے۔
"یہاں تک کہ ہدف ہمارے دسترس میں ہوتا ہے۔
1974ء کے سہ فریقی معاہدے سے سب واقف ہیں۔
: سر اٹھاکے چل بیٹا !302 کا مقدمہ ہے۔
آئندہ بھی فیصلے اسی بنیاد پر کرنا پڑیں گے۔
آئندہ دنوں میں اس کی کارکردگی کیا ہو گی؟
آئین زمان و مکان کا پابند ہو تا ہے۔
آئیے، اب ایک نئے دور کا آغاز کرتے ہیں۔
آئے دن شہداء کی لمبی فہرست میں اضافہ ہوتاہے۔
آئے روز فروعی باتوں پہ کانفرنسیں ہوتی رہتی ہیں۔
آئے روز کسی شیلٹر ہوم میں جا دھمکتے ہیں۔
آثارہیں کہ تاریخ اپنے آپ کو دہرا رہی ہے۔
آج اس بارے میں تمام سیای جماعتیں متفق ہیں۔
آج اس کی شہرت تعلیم نہیں کچھ اور ہے۔
آج ان کی مقبولیت کا گراف نیچے گیا ہے۔
آج اگر دنیا کو تہذیبی تصادم سے بچنا ہے۔
آج اگر ہماری اخلاقی قدریں زوال کا شکار ہیں۔
آج بھی سنیں تو عجیب کیفیت طاری ہوجاتی ہے۔
آج بھی وہ رمضان کی کسی شب آتے ہیں۔
آج تزکیہ نفس میری مذہبی لغت کا حصہ ہے۔
آج تک اس سوچ سے نکلا نہیں جا سکا۔
آج تک اس پھندے سے نجات حاصل نہیں ہوئی۔
آج تک چار ہی طریقے سامنے آ سکے ہیں۔
آج دنیا میں امریکہ اس کا عالمی مظہر ہے۔
آج سیاسی تشکیل جغرافیے کے مطابق ہو رہی ہے۔
آج قدرت نے ان کے ساتھ ہاتھ کر دیا۔
آج قوم کو ایک متبادل بیانیے کی ضرورت ہے۔
آج معلوم ہوا کہ وہ محض ایک خواب تھا۔
آج ملک میں ایک سیاسی جماعت کی حکومت ہے۔
آج میں اس گمان سے نکلتا جا رہا ہوں۔
آج وہ اوران کے بچے پیشیاں بھگت رہے ہیں۔
آج کل ایک اور ردعمل بھی دیکھنے کوملتا ہے۔
آج کل تو خبروں کی بارش ہو رہی ہے۔
آج کل ڈرامائی سیاسی پیش رفت کے دن ہیں۔
آج کیونکہ زمانہ بدل چکاہے ان کی ترجیحات اورہیں۔
آج کے ادیب کا دامن اس سے خالی ہے۔
آج کے بعد اس منصب کی توقیر ہو گی۔
آج کے دن ہمیں ہیجان سے باہر آنا ہے۔
آج کے معاشرے میں اس کا پیمانہ ووٹ ہے۔
آج کے پاکستان میں یہ شوق پائے جاتے ہیں؟
آج ہم سیاست کے "دور عمران" میں زندہ ہیں۔
آج ہم قومی ریاستوں کے دور میں زندہ ہیں۔
آج ہم پھر اس رویے کی زد میں ہیں۔
آج یہ اپنے نتائج کی طرف بڑھ رہا ہے۔
آج یہ پیپلزپارٹی کی سب سے بڑی ضرورت ہے۔
آج یہ کسی فرد واحد کا خوف نہیں ہے۔
آخر ایل کپون کے خلا ف گواہی کون دیتا؟
آخر تنگ آ کر دونوں کو ادھورا چھوڑ دیا۔
آخر مرتضی بھٹو اوربے نظیر بھٹو بھائی بہن تھے۔
آخر چودہ جانیں جن میں دو خواتین بھی تھیں۔
آخر یہ حضرات اپنے خلاف گواہی کیسے دیں گے؟
آخرت ہی نہیں، دنیا کا معاملہ بھی یہی ہے۔
آخری رسومات اختتامی سین ہی اب رہ گئے ہیں۔
آخری مباحثے میں بھی اس موقف پر قائم تھے۔
آدمی قلم سنبھالے کہ دل!انسانیت کی معراج کیا ہے؟
آدھا سال ان کے اقتدار کو ہو چلا ہے۔
آدھی سے زیادہ قوم ویسے ہی نا خواندہ ہے۔
آرمی چیف ایک اچھی مثال قائم کر سکتے ہیں۔
آرمی چیف ہمارے مہربان دوست جنرل اسلم بیگ تھے۔
آزادی رائے کو ایک قدر کی حیثیت حاصل ہے۔
آزادی کی کوشش کو غداری کہا جا تا تھا۔
آزادیٔ اظہار ایسے ہی لوگوں کے لئے ہوتا ہے۔
