! ٭٭٭ گریباں گیر برسوں بعد میں نے اسے شہر کے ایک معمولی ہوٹل میں داخل ہوتے ہوئے دیکھا۔
! کو پوچھا تو کاؤنٹر والی لڑکی نے متعلقہ آفس سے کمپیوٹر مشین (جو ٹائپ رائٹر کی طرح ہوتی ہے۔
!! اک خواب وہی تو تھا جو ٹوٹ گیا آخر پل بھر میں گنوا بیٹھا اک عمر کا حاصل تھا۔
!مارچ ء کے دن مولانا خواجہ حسن نظامی کے ہمراہ نواب صاحب نے پہلی بار علامہ اقبال سے ملاقات فرمائی۔
"  پھر وہ بولا "دیکھ تو سہی، کیا یہ اس قابل تھا کہ تو نے اسے مجھ پر فضیلت دی؟
" ' . آپ لوگوں کو ہم نے اسی لیے بلوایا ہے کہ یہ بات نہ ہو۔
" ' ابن بخار نے حضرت ثوبان کی یہ حدیث نقل کی ہے کہ " نماز ضحی وہ نماز ہے۔
" ( ابوداؤد ) تشریح : چونکہ ابو رافع کفار مکہ کی طرف سے کوئی پیغام لے کر آئے تھے۔
" ( ابوداؤد، نسائی ) تشریح یہ حدیث کہ جس سے گھوڑے کا گوشت کھانے کی ممانعت ثابت ہوتی ہے۔
" ( النحل :) " اور ہم نے ہر چیز کو بیان کرنے کے لیے آپ پر کتاب اتاری ہے۔
" ( بخاری و مسلم ) تشریح : مذکورہ آیت کریمہ سورہ حشر کی ہے جو پوری اس طرح ہے۔
" ( بخاری ومسلم ) تشریح : " جس کے دل میں رائی کے دانہ کے برابر بھی ایمان ہو۔
" ( بخاری ومسلم ) تشریح : " مسلمان بردہ " میں اسلام کی قید اس لئے لگائی گئی ہے۔
" ( بخاری ومسلم ) تشریح : " ہم سب لوگوں نے خوب پانی پیا " کتنے قابل رشک تھے۔
" ( بخاری ومسلم ) تشریح اس حدیث میں کھانے کے تین بنیادی آداب کی طرف متوجہ کیا گیا ہے۔
" ( بخاری ومسلم) تشریح : حضرت ابراہیم علیہ السلام کے جس " شک " کا ذکر کیا گیا ہے۔
" ( بخاری) صور پھونکے جانے کا بیان حضرت اسرافیل علیہ السلام صور پھونکنے کے لئے ہر وقت تیار ہیں۔
" ( تر مذی ) تشریح : حدیث کا آخری جملہ مذکورہ فضیلت وبزرگی کی وضاحت کے طور پر ہے۔
" ( ترمذی ) تشریح : نیز میں نے اس شخص کو اس مہر نبوت کے ذریعہ بھی پہچانا ھے۔
" ( سورۃ البقرۃ :) " اگر تم اس چیز میں جو ہم نے اپنے بندے پر نازل کی ہے۔
" ( مسلم ) اور بخاری ومسلم کی روایت میں یہ ہے کہ آپ صلی اللہ علیہ وسلم نے فرمایا۔
" ( مسلم ) تشریح " فویسق " اصل میں " فاسق " کی تصغیر ہے جس کے معنی ہیں۔
" ( مسلم ) تشریح : " ( یہ دعا کرتے ہوئے ) آپ صلی اللہ علیہ وسلم رونے لگے۔
" ( نسائی ) جہاد کا بیان جنگ میں حقیقی طاقت حق تعالی کی مدد ونصرت سے حاصل ہوتی ہے۔
" ( پھر رسول اللہﷺ نے ) فرمایا :" ہاجرہ نے خود بھی پانی پیا اور بچے کو بھی پلایا۔
" (/نومبر ء) شمس الرحمن فاروقی (الہ آباد) : "گیان چند کے بارے میں تمھارے مفصل مضمون کی نقل ملی۔
" (28) دونوں بہن بھائی خاندان کی گاڑی کھینچ رہے ہیں اور دونوں کے لیے اس کا کوئی نہیں۔
" (31) " باہر رہ کر تم نصف پاگل ہو گئے ہو، اور پاگل نئی نئی باتیں سوچنے لگتے ہیں۔
" (ابن جریر) ایک اور روایت میں ہے کہ "ایک کو بے وجہ مار ڈالتے ہی جہنمی ہو جاتا ہے۔
" (ابن ماجہ) ایمان کا بیان عذاب قبر کے ثبوت کا بیان "عذاب قبر قرآن و احادیث سے ثابت ہے۔
" (ابوداؤد ) لباس کا بیان مردوں کے بالوں کی زیادہ لمبائی ناپسندیدہ حضرت انس رضی اللہ عنہ فرماتے ہیں۔
" (ابوداؤد) تشریح " لازم" سے مراد وجوب شرعی نہیں ہے کہ جس کو چھوڑنے والا گنہ گار ہوتا ہے۔
" (ابوداؤد، جامع ترمذی، ابن ماجہ) تشریح اس حدیث سے معلوم ہوا کہ محلوں میں مسجدیں بنانا اشد ضروری ہیں۔
" (احمد نے اسے عمرو بن شعیب، انہوں نے اپنے والد اور انہوں نے اپنے والد سے روایت کیا ہے۔
" (احمد، ابن ماجہ، بیہقی، اور شعب الایمان ) تشریح: پھر وہ فرشتہ اپنا سر آسمان کی طرف اٹھائے گا۔
" (استثنا باب 23) مقروض کو غلام بنا لینے کی ممانعت • سود کو قطعی حرام قرار دے دیا گیا۔
" (اعلان جنگ) مگر حرام ہے کہ ا لم نصیبوں اور ستم نصیبوں کے کانوں پر جوں تک رینگی ہو۔
" (امام مالک) تشریح حضرت عائشہ صدیقہ رضی اللہ تعالی عنہا کا یہ ارشاد مبالغے کے لیے تعلیق بالمحال ہے۔
" (بخاری ) تشریح " سبز ٹھلیا " سے مراد " خنتم " یعنی سبز لاکھی (روغنی ') گھڑا ہے۔
" (بخاری ) تشریح مطلب یہ ہے کہ نظر بد ایک ایسی حقیقت ہے جس کا اثر ظاہر ہوتا ہے۔
" (بخاری )" امارت وقضا کا بیان غیر شرعی حکم کی اطاعت واجب نہیں "اور حضرت ابن عمر کہتے ہیں۔
" (بخاری مسلم ) تشریح : " گھوڑوں کے درمیان مسابقت " گویا گھوڑ دوڑ کے مفہوم کے مرادف ہے۔
" (بخاری ومسلم ) تشریح " عذرہ " ایک بیماری ہے جو شیر خوار بچے کو ہو جایا کرتی ہے۔
" (بخاری ومسلم ) تشریح تلبینہ اس حریرے کو کہتے ہیں، جو آٹے اور دو دھ سے بنایا جاتا ہے۔
" (بخاری، ترمذی، نسائی، ابوداؤد) (یعنی آخرت کی سزا پانے سے بہتر ہے کہ انسان دنیا میں سزا پا لے۔
" (بخاری، مسلم، ترمذی، نسائی) اللہ نے اپنی کتاب کو لوگوں پر مہربانی کے لئے سات حروف پر نازل فرمایا۔
" (بنی اسرائیل:) تب رسول اعظم (صلی اللہ علیہ وا ٓلہ وسلم )نے جناب فاطمہ الزہرا کو فدک دے دیا۔
" (ترجمان القرآن، ستمبر 1952، ص 430-431) جواب : یہ معاملہ بھی منکرین حدیث کے نظریہ سے بالکل مختلف ہے۔
" (ترمذی ) تشریح : مطلب یہ ہے کہ قریش کی عزت اور ان کا احترام ہرصورت میں لازم ہے۔
" (ترمذی ) تشریح آنحضرت صلی اللہ علیہ وسلم کے ارشاد کا مطلب یہ تھا کہ سواری تو اچھی ہے۔
" (ترمذی ) تشریح قصواء اس اونٹنی کو کہا جاتا ہے جس کے کان کا کوئی کونہ کٹا ہوا ہو۔
" (ترمذی ابوداؤد ) اور ابوداؤد کی ایک روایت میں یوں ہے کہ آپ صلی اللہ علیہ وسلم نے فرمایا۔
" (ترمذی، ابوداؤد، ابن ماجہ ) اور احمد ونسائی نے اس روایت کو طارق ابن شہاب سے نقل کیا ہے۔
" (تلوار کو مخاطب کر کے)"اے تلوار!(چوم کر) اس جسم سے روح کی علیحدگی کا وقت قریب آ پہنچا ہے۔
" (جامع الترمذی) تشریح اس حدیث سے معلوم ہوتا ہے کہ سورج ڈھلنے کے بعد کا وقت ساعت قبولیت ہے۔
" (جامع ترمذی ) تشریح: جس طرح حدیث بیان کرنے میں احتیاط سے کام لینے کی ہدایت کی گئی ہے۔
" (جامع ترمذی، ابوداؤد، دارمی، سنن ابن ماجہ، سنن نسائی) تشریح ایک دینار ساڑھے چار ماشے سونے کا ہوتا ہے۔
" (جامع ترمذی، سنن ابوداؤد، سنن نسائی) نماز کا بیان درود کے بعد مانگی جانے والی دعا قبول ہوتی ہے۔
" (حقیقت) "جے جے کی صداؤں نے ہمیں اس طرح مست کر دیا جیسے مہورناگ کو مست کر دیتا ہے۔
" (راجپوت کی بیٹی) "کمرۂ عدالت میں سیاہ عباؤں والی مخلوق دو رویہ اس کثرت سے جمع ہو گئی تھی۔
" (ریاست کا دیوان) پریم چند کے افسانوں میں منظر اور فضا کی کیفیتوں کی ایسی کئی مثالیں ملتی ہیں۔
" (زمانہ، پریم چند نمبر، ص) داستانی روایتوں کو ذہن کی زنبیل میں غیر شعوری طور پر بند کرتے رہے۔
" (سنن ابوداؤد، جامع ترمذی، ابن ماجۃ) اور امام ترمذی رحمہ اللہ تعالی فرماتے ہیں کہ یہ حدیث غریب ہے۔
" (سورۂ ابراہیم /، ، ) اس بھیانک دن میں جب زمین کو کچھ کا کچھ کر دیا جائے گا۔
" (سورۂ کہف، رکوع:، آیت:) یہ صحیح ہے کہ پروردگار کی ذات صفات کا بدرجہ کمال احاطہ کرنا ممکن نہیں۔
" (سیدنا انسؓ) کہتے ہیں کہ پھر نبیﷺ نے صفیہ کو آزاد کر دیا اور ان سے نکاح کر لیا۔
" (صحیح البخاری ) تشریح علامہ تور پشتی فرماتے ہیں کہ یہاں وقت کا جو اندازہ بیان کیا گیا ہے۔
" (صحیح البخاری ) نماز کا بیان فجر کی نماز جماعت سے پڑھنا رات بھر عبادت کرنے سے بہتر ہے۔
" (صحیح البخاری و صحیح مسلم ) تشریح " ہر مہینے کے تین روزے" کے تعین میں مختلف اقوال ہیں۔
" (صحیح البخاری و صحیح مسلم) تشریح حنفیہ کے نزدیک چونکہ نمازی اپنے پہنے ہوئے کپڑے پرسجدہ کر سکتا ہے۔
" (صحیح البخاری) گرہن کے متعلق احادیث کی کتاب نماز کسوف کی قرار بآواز بلند ہو یا آہستہ آواز سے؟
" (صحیح مسلم) تشریح جب جانور کو ذبح کیا جا رہا ہو، اس کے سامنے چھری تیز کرنا مکروہ ہے۔
" (صحیح مسلم) تشریح خطبہ کی حالت میں لوگوں کی توجہ مخلوق (یعنی خطبہ پڑھنے والے) کی طرف ہوتی ہے۔
" (صحیح مسلم) تشریح رسول اللہ نے جنت کی جو خوشخبری حضرت ابوہریرہ کے ذریعہ لوگوں تک پہنچانا چاہی تھی۔
" (صحیح مسلم) تشریح: علماء کرام نے اس ارشاد کی یہ وضاحت کی ہے کہ راستہ سے مراد شاہراہ ہے۔
" (غلام نے آیت کا باقی حصہ تلاوت کیا، ) "اور وہ جو برائی کے بد لے بھلائی کرتے ہیں۔
" (فاران فروری ء ) یاد رفتگاں کے عنوان سے مولانا مرحومین پر اپنے رسالے میں تأثرات لکھا کرتے تھے۔
" (فاطر، رکوع، آیت:) دوسری جگہ فرمایا "کالْعہْن الْمنْفوْش" (القارعہ) یعنی پہاڑ دھنکی ہوئی اون کی طرح اڑتے پھریں گے۔
" (فراقؔ) "ردم" کا تعلق یونانی لفظ سے ہے جس کا مفہوم "رفتار" سے قریب تر ہے۔
" (فکر اقبال، ص ) محمد اقبال جمالیات حافظ کے پر اسرار جلال و جمال تک پہنچ نہ سکے تھے۔
" (مؤطا) تشریح پس جس طرح مردوں کو سونے کی کوئی چیز خود پہننا یا لڑکوں کو پہننا ممنوع ہے۔
" (مالک) یہ وہ روایت ہے جو ہمیں ہم سے پہلے گزرنے والے اہل فقہ کے علماء نے سکھائی ہے۔
