,      . بہت وسیع موضوع ہے اور میں محنت سے بھاگنے والا۔
یعنی الفاظ کے باہمی رشتے اور معنیاتی سلسلے محاورات کو اور عام زبان کے ساتھ ان کے رشتوں کو سمجھنے میں یہ صورت حال بہت مدد دیتی ہے۔
’’میں تحریر و تصنیف کے جملہ آداب سے واقف ہوں، میرے قلم سے بے ادبی شاذ و نادر ہی ہو سکتی ہے، میں فحش نگار نہیں افسانہ نگار ہوں۔
17 کیا وہ خالق جو (اتنا کچھ) پیدا فرمائے اس کے مثل ہو سکتا ہے جو (کچھ بھی) پیدا نہ کر سکے، کیا تم لوگ نصیحت قبول نہیں کرتے 18۔
اور اس کے دونوں گالوں پر وہ گرم اور نم آلود بوسے اور دن میں کتنی کتنی مرتبہ اس کے منہ سے شراب کی تیز بدبو تو ضرور آتی تھی۔
اوروہی (اللہ) ہے جس نے رات اور دن کو پیدا کیا اور سورج اور چاند کو (بھی)، تمام (آسمانی کرّے) اپنے اپنے مدار کے اندر تیزی سے تیرتے چلے جاتے ہیں۔
جذبوں سے بھری ہوئی رنگ پچکاری جیسی، دہشت سے نکلی ہوئی چیخ جیسی اور حیرت کے اس لمحے کی طرح جو عین صلیب پر اترے اور زندگی کا جوہر کشید کرے۔
سورۃ الْإسْراء / بنی إسْرآئیل سورت : مکی ترتیب تلاوت : 17 ترتیب نزولی : 50 رکوع : 12 آیات : 111 پارہ نمبر : 15 بسم اللہ الرحمن الرّحیم 1۔
شکیل الرحمن نے پریم چند کی کہانیوں کی روشنی میں بچوں کی نفسیات، حالات کا نفسیاتی رد عمل، اس کے اثرات اور حسی تصورات کے حوالے سے اچھی بحث کی ہے۔
قرآنی اصطلاح "رتق" کی سائنسی تفسیر ہمیں اس بات سے آگاہ کرتی ہے کہ بے پناہ توانائی نے کائنات کو اس وقت ’ابتدائی کمیتی اکائی‘ کی صورت میں باندھ رکھا تھا۔
قیلولہ دوپہر کے سونے کو کہتے ہیں، حاصل یہ ہے کہ وہ آگ شب و روز ان کے ساتھ رہے گی اور کسی بھی وقت ان سے جدا نہیں ہو گی۔
مصوّر : یہ نظم پانچ بندوں پر مشتمل ہے اور ہر بند آٹھ مصرعوں سے تشکیل دیا گیا ہے، مگر ان مصرعوں کی ترتیب سے بند کی ہیئت بدل گئی ہے۔
پر فتاوی اور شرعی فیصلہ جات کے ’فتاوی قاضی خان‘، ’فتاوی بزازیہ‘، ’فتاوی ابن تیمیہ‘، ’فتاوی امام نووی‘، ’فتاوی امام سبکی‘ اور ’فتاوی الہندیہ‘ جیسے مجموعات مرتب ہوئے۔
یوں نہ دیکھیں مجھے ترحّم سے اور کوئی عذاب دے دیجئے . طارقؔ تو یہی کہہ کے مشیت کا بھرم رکھ اچھا چلو قسمت میں مری غم ہیں تو ہوں گے۔
یہ واعظ خوش کلام، اللہ اللہ شرمندۂ ذوق عام، اللہ اللہ افسانہ تراش اور حق گو، توبہ! دیں اس کو بھی جام، اللہ اللہ لاریب کہ رہنمائے دوراں تو ہے۔
! (بخاری ) تشریح میرک رضی اللہ عنہ کہتے ہیں کہ ابن ماجہ اور احمد نے اپنی روایت میں "" رنگین"" کے ساتھ مہندی اور وسمہ کے الفاظ بھی نقل کئے ہیں۔
! آمد و خرچ کا حساب ان کا محبوب مشغلہ بھی ہے اور ہائی اسکول میں ریاضی میں امتیاز کے ساتھ کامیابی یعنی کا وہ پورا فائدہ ابھی تک اٹھاتے ہیں۔
! اب رہا کائنات کی جانب سے انسان کے مامون و مصؤن رہنے کی صورت تو وہ صرف انسان اور کائنات کی حرکت میں باہمی مطابقت اور یک جہتی پر موقوف ہے۔
! اور اگر کسی نے اپنے باپ یا اپنے دادا کو اور یا اپنی ماں کو ذبح کرنے کی نذر مانی تو تمام علماء کے نزدیک اس کی نذر لغو ہو گی۔
! اگر اللہ تعالی کی راہ میں جہاد، حج اور اپنی والدہ کے ساتھ نیکی کرنے کا مسئلہ نہ ہوتا تو میں غلام ہونے کی حالت میں فوت ہونے کو پسند کرتا۔
! تو جا اور جنت میں داخل ہو، وہاں تیرے لئے دنیا ( کی مسافت ) کے بقدر اور اس سے دس گنی مزید جگہ تیرے لئے ( مخصوص کر دی گی۔
! رشتۂ در گردنم افگندہ دوست مہ برد ہر جا کہ خاطرخواہ اوست چلو! اتنی دیر میں‌اورسب حوریں بھی آ گئیں اور زمرد حسین کو ساتھ لیے قصر دری کے باہر نکلی۔
! ساتوں سمندر اسی وجود میں ہیں، اور تمام ستارے اسی جگہ چمک دمک رہے ہیں، ان ستاروں کی کوئی تعداد بتا نہیں سکتا، لاتعداد انگنت ستاروں کی روشنی پھیلی ہوئی ہے۔
! شبانہ کو لگتا ہے کہ اس سے گلے ملنے والا یہ بوڑھا شاید سٹیا گیا ہے، وہ حیرت سے لوگوں کو دیکھتے ہوئے مسکرا کر کہتی ہے: شکریہ دادا جی شکریہ۔
! نہ جانے کیوں جولیا سچ مچ اس کے لئے مغموم ہو گئی تھی! ﴿﴾ ﴿﴾ ﴿﴾ جوزف بس چلتا ہی رہا! اسے احساس نہیں تھا کہ وہ کتنا چل چکا ہے۔
! وہ شخص ( انتہائی تحیر واستعجاب کے عالم میں ) کہے گا کہ ( پروردگار !) کیا آپ مجھ سے مذاق کررہے ہیں یا یہ کہے گا کہ آپ مجھ سے۔
! ٭٭٭ زندگی کا تسلسل (پانچوں بچے) میں نے اپنی دیانت کی سب دولتیں اپنی اولاد کو دیں فقط اور باقی عزیزوں کو صرف اور صرف اپنے حصے کا گھر لکھ دیا۔
! پھر جولیا نے دیکھا کہ وہ کار میں بیٹھ کر اسے اسٹارٹ کرنے کی کوشش کر رہا ہے! تھوڑی ہی دیر بعد وہ انجن کھولے اس پر جھکا ہوا نظر آیا۔
!! اعتبار کیا ! میں بچے کے آنسوؤں کی طرح ہو گئی اور ابھی تک آنکھوں کی طرح ہوں اور ابھی تک مسلمان ہوں! زندگی کی چھاؤں میں کوئی سورج نہیں ہے۔
!! پروفیسر بشیر احمد سوز قلم قبیلے کے سارے لوگو قلم اٹھؤ کہ ایک لمحہ زمیں کے سینے کو چاک کرنے وجود ہستی کو خاک کرنے فلک سے نیچے اتر گیا ہے۔
!مقصد یہ تھا کہ ان باتوں کی بشارت تمام صحابہ سن لیں اور اس ضمن میں ان دونوں شکایت کنندہ کو جواب بھی حاصل ہو جائے جس سے ان کو تسلی ہو۔
"        ." پھر رافی اسٹیئرنگ پر ایک بازو رکھ کر رابرٹ ٹائیلر کے انداز سے کہتا تھا۔
" " خواجہ نصر الدین کو ایسے دھر لینا آسان نہیں ہے!" " کوئی رقم بھی بخارا کے لوگوں کو خواجہ نصر الدین کے ساتھ دغا کرنے پر آمادہ نہیں کر سکتی۔
" """ اور حضرت سفیان بن عبداللہ ثقفی رضی اللہ عنہ کہتے ہیں کہ ایک دن میں نے عرض کیا یا رسول اللہ آپ میرے بارے میں جن چیزوں سے ڈرتے ہیں۔
" "اسلم عدوی سے عبداللہ بن ارقم نے کہا کہ مجھے ایک اونٹ بتا دے سواری کا میں اس کو حضرت عمر سے کہہ کر اپنی سواری کے لیے لے لوں گا۔
" "امام جعفر نے فرمایا ! اللہ جب کسی امام کو پیدا کرنا چاہتا ہے تو ایک فرشتہ بھیجتا ہے جو عرش کے نیچے سے شربت لے کر اس کو پلاتا ہے۔
" "صبر کیجئے" خواجہ نصر الدین نے بختیار کو روک دیا "ابھی میں نے آپ سے الثریا کے مجموعہ نجوم اور انعیم کے آٹھ ستاروں کے بارے میں تو بتایا ہی نہیں۔
" (آیت 110,109) میں فرمایا، "اور میں اس کیلئے تم سے کوئی صلہ نہیں مانگتا میرا اجر بس اللہ رب العالمین کے پاس ہے، پس اللہ سے ڈرو اور میری اطاعت کرو۔
" (الفجر 89:6-7) کشتی نوح رسولوں کی تاریخ ہی کے حوالے سے قرآن مجید حضرت نوح علیہ السلام کی کشتی کا ذکر کرتا ہے کہ وہ دنیا والوں کے لیے نشانی ہے۔
" (فاطر 35:28) بہرحال یہ حقیقت تو صرف ہماری کہکشاں کے 100 بلین ستاروں میں سے چند ایک کی ہے جس کے پیمانے بھی شاید ہماری محدود عقل میں آنے مشکل ہیں۔
" (فروری ۱۹۸۵ء) • ہفت روزہ ہماری زبان (نئی دہلی) کے تبصرے کے الفاظ یہ تھے: "ڈاکٹر مرزا خلیل بیگ کی زیر تبصرہ کتاب اردو میں اپنی نوعیت کی پہلی کتاب ہے۔
" (لمبی لڑکی) بیدی کے یہاں تکرار کی ایک صورت یہ ہے کہ وہ ایک ہی لفظ سے مشتق دو ایسے لفظ لاتے ہیں جو عبارت میں ایک لطف پےدا کردیتے ہیں۔
" (۱۲) پروفیسر گوپی چند نارنگ نے کلام اقبال کے صرفی و نحوی تجزئے سے یہ بات پایۂ ثبوت کو پہنچا دی ہے کہ اقبال فعلیت کو اسمیت پر ترجیح دیتے ہیں۔
" [16] مفلسی کے ساتھ ساتھ صبا نے بے گھری کا عذاب بھی برداشت کیا تھا اور اپنی فوج کی ملازمت کے دوران کئی سرد راتیں کھلے آسمان تلے بھی گزاری تھیں۔
" آرزو اور حرص کا بیان جنت میں فقراء کا داخلہ اغنیاء سے پہلے ہوگا "حضرت ابوہریرہ رضی اللہ عنہ کہتے ہیں کہ رسول کریم صلی اللہ علیہ وآلہ وسلم نے فرمایا۔
" ابن صادق نے ترک سرداروں کو متاثر ہوتے دیکھ کر پر جوش آواز میں کہا "مسلمانوں کی موجودہ نرمی سے یہ نتیجہ نہ نکالو کہ وہ ہمیشہ ایسے ہی رہیں گے۔
" ابھی ہم گاؤں سے صرف۱۲۰ کلومیٹر دور آئے ہیں، یہ جگہ بھی محفوظ نہیں ہے، یہاں بھی خطرہ ہے، جنگ کی صورت میں دشمن کی فوجیں یہاں تک پہونچ سکتی ہیں۔
" اتفاقا موسی کی قبر پر نظر جا پڑی اور یہ دیکھ کے متعجب ہوا کہ کچھ بدلی ہوئی سی ہے اور دو ایک پتھر زیادہ ہیں جو کل شام نہ تھے۔
" اس امر کی بھی کوئی شہادت موجود نہیں ہے کہ محمد رسول اللہ کے فورا بعد جو چار خلیفہ ہوئے ان کے زمانے میں احادیث محفوظ یا مرتب کی گئی ہوں۔
" اس تقریر سے صاف ظاہر ہے کہ حضرت عمر رضی اللہ تعالی عنہ باوجود اس کے کہ فدک وغیرہ کو خالصہ سمجھتے تھے تاہم آنحضرت کی ذاتی جائیداد نہیں سمجھتے تھے۔
" اس شخص نے جو بڑے سادہ مگر خوش وضع کپڑوں میں ملبوس تھا، تعظیم کے ساتھ کہا " ملک و ملت کا ایک ادنی ترین خادم، " اور کورنش بجا لایا۔
" اس طرح کی کوئی حدیث اگر سرسری طور پر کبھی آدمی کی نظر سے گزر جائے تو وہی غلط فہمی لاحق ہوتی ہے جس کا ذکر فاضل جج نے کیا ہے۔
" اس نے بڑے پیار سے میرا ہاتھ دبایا اور پیشتر اسکے کہ میں اس سے کوئی اور بات کرتا وہ لمبے قدم اٹھاتا ہوا جھاڑیوں کے جھنڈ میں غائب ہو گیا۔
" اس کے جواب میں شیخ نے کسی قدر برہمی سے کہا: "بعینہ ایسے ہی جس طرح کہ تم دنیا میں اس جسم کے ساتھ مزہ اٹھاتے ہو" شخص : کیوں کر؟
" استغفار وتوبہ کا بیان توبہ کرنے والوں کی فضیلت حضرت انس رضی اللہ عنہ راوی ہیں کہ رسول کریم صلی اللہ علیہ وآلہ وسلم نے فرمایا ہر انسان خطا کار ہے۔
" اسی اصول پر آپ نے طائف کے محاصرے کے وقت اعلان فرما دیا تھا کہ اہل طائف کے غلاموں میں سے جو آزادی کا طالب ہو، وہ ہماری طرف آ جائے۔
" اسی طرح کے خطوط بغداد کے خلیفہ، ترکی کے سلطان، ایران کے شاہ، قوقند کے خان اور افغانستان کے امیر اور بہت سے نزدیک و دور کے بادشاہوں کو لکھوائے گئے۔
" اسے میں نے متعدد مرتبہ ان سے سنا اور وہ بعض اوقات یہ بھی کہتے، "جیسا کہ آزاد شخص کو پہنچنے والے نقصان کا ہرجانہ دیت سے متعین کیا جاتا ہے۔
" افعال حج کا بیان بغیر عذر فرض حج نہ کرنے والوں کے لئے وعید "حضرت ابوامامہ رضی اللہ عنہ کہتے ہیں کہ رسول کریم صلی اللہ علیہ وآلہ وسلم نے فرمایا۔
" اللہ تعالی کے ناموں کا بیان اللہ تعالی کے ننانوے نام اور ان کی تفصیل ووضاحت """ العظیم"" ذات پاک میں فہم و شعور کی رسائی سے بھی زیادہ بزرگ وبرتر۔
" ان کے نزدیک اتباع کا یہ مفہوم "غیر فطری اور ناقابل عمل ہے کہ ہم بھی اسی طرح سوچیں اور عمل کریں جس طرح حضور ﷺ سوچتے اور عمل کرتے تھے۔
" انہوں نے کہا تو سہی لیکن ان کی آنکھوں میں آنسو آ گئے لیکن ان کے ان آنسوؤں کا نہ تو عادل پر کوئی اثر ہوا اور نہ ہی لبنی پر۔
